Composition_Formula,Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,Material_Class,Hydrogen_Weight_Percent,Temperature_oC,Pressure_Atmospheres_Absolute,Reference
NbTiVZrHf,61.8,88,5.88E-07,-14.35,SS,2.2,315,0.17,10.1038/srep36770
VTiZrNb,67.6,90.3,7.48E-08,-16.41,SS,1.5,311,0.05,10.1021/acs.inorgchem.0c03270
NbTiV0.5ZrHf,59.1,87.4,1.63E-06,-13.33,SS,1.8,326,0.25,10.1021/acs.inorgchem.0c03270
VTiAlCr,42.7,88.4,1.37E-03,-6.59,SS,1.1,311,5.3,10.1021/acs.chemmater.1c00647
VTiAlTaNb,56.1,92.1,9.60E-06,-11.55,SS,1.25,301,0.8,10.1021/acs.chemmater.1c00647
TiVCrNb,47.1,122,1.32E-02,-4.33,SS,3,100,0.2,10.1016/j.actamat.2020.116496 
TiVNb,67,157,2.90E-04,-8.14,SS,3.1,220,,10.1016/j.intermet.2022.107590
Al0.1Ti0.3V0.3Nb0.3,48.6,154,3.39E-01,-1.08,SS,2.6,62.5,,10.1016/j.intermet.2022.107590
Ti23.333V23.333Nb23.333Cr30,49,154,2.88E-01,-1.24,SS,3.1,50,,10.1016/j.jallcom.2022.167609
Ti21.667V21.667Nb21.667Cr35,39,134,1.47E+00,0.38,SS,2.8,50,,10.1016/j.jallcom.2022.167609
Ti0.65Zr0.35MnCr0.8Fe0.2,23,93,6.73E+00,1.91,SS,1.8,50,,10.1016/j.ijhydene.2015.09.157
Ti0.683Zr0.368MnCr0.8Fe0.2,26,98,3.66E+00,1.30,SS,2.05,50,,10.1016/j.ijhydene.2015.09.157
Ti0.699Zr0.376MnCr0.8Fe0.2,25,92,2.66E+00,0.98,SS,2.1,50,,10.1016/j.ijhydene.2015.09.157
Ti0.715Zr0.385MnCr0.8Fe0.2,28,100,2.08E+00,0.73,SS,2.2,50,,10.1016/j.ijhydene.2015.09.157
Ti1.125Zr0.125Cr0.85Mn1.1Mo0.05,23,109,4.61E+01,3.83,SS,1.5,58,,10.3390/en13112751