Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
,Al0.4CoCrFeNi,AC,SS,FCC,5,1,H,[46],3d_Transition_Metal_Alloy_Family
,Al0.44CoCrFeNi,AC,SS+IM,FCC+B2+Unk,5,3,OX,[50],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrFeNi,AC,SS,2FCC,5,2,,[24],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ+CR(50%),SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,BCC+FCC,5,2,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+350C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+500C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+650C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+800C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC+950C/24h/WQ,SS,2BCC+FCC,5,3,"H, C",[51],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,H,[46],3d_Transition_Metal_Alloy_Family
,Al0.7CoCrFeNi,AC,SS+IM,BCC+FCC+B2,5,3,H,[46],3d_Transition_Metal_Alloy_Family
,Al0.75CoCrFeNi,AC+1100C/24h/WQ,SS+IM,FCC+B2,5,2,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ+CR(50%),SS,BCC+FCC,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,Al0.8CoCrFeNi,AC,SS+IM,BCC+FCC+B2,5,3,H,[46],3d_Transition_Metal_Alloy_Family
,Al0.875CoCrFeNi,AC,SS,BCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS+IM,FCC+B2,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ+CR(50%),SS+IM,FCC+B2,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,BCC+FCC,5,2,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,Al0.9CoCrFeNi,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNi,AC,IM,B2,5,1,M,[52],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,M,[53],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2+L12,5,2,,[54],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,M,[7],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS+IM,FCC+B2,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,5,1,M,[55],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS+IM,FCC+B2,5,2,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,5,1,"DSC, M",[43],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+B2,5,2,"H,D",[56],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,5,1,M,[57],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,5,1,M,[58],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,5,1,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,M ,[59],3d_Transition_Metal_Alloy_Family
,,AC+Bridgman,SS+IM,BCC+B2,5,2,M ,[59],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,5,1,"M, MAG",[45],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNi2.1,AC,SS+IM,FCC+B2,5,2,"DSC, MT",[60],3d_Transition_Metal_Alloy_Family
,AlCoCr2FeNi,AC,IM,B2+L12,5,2,,[54],3d_Transition_Metal_Alloy_Family
,Al1.2CoCrFeNi,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
,Al1.25CoCrFeNi,AC+1100C/24h/WQ,IM,B2,5,1,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS+IM,BCC+B2,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,Al1.5CoCrFeNi,AC,IM,B2,5,1,,[54],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,IM,B2,5,1,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS+IM,BCC+B2,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,"H, D",[56],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
,Al1.8CoCrFeNi,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
,Al2CoCrFeNi,AC,IM,B2,5,1,,[54],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS+IM,BCC+B2,5,2,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,IM,B2,5,1,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,"H,D",[56],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,"MAG, VIB",[29],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
,Al2.08CoCrFeNi,AC,SS+IM,BCC+B2,5,2,R,[61],3d_Transition_Metal_Alloy_Family
,Al2.5CoCrFeNi,AC,IM,B2,5,1,,[54],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,5,2,"H, D",[56],3d_Transition_Metal_Alloy_Family
,Al3CoCrFeNi,AC,IM,B2,5,1,,[54],3d_Transition_Metal_Alloy_Family
,,AC,IM,B2,5,1,"H, D",[56],3d_Transition_Metal_Alloy_Family
AlCoCrFeNiSi,AlCoCrFeNiSi0.2,AC,SS,BCC,6,1,M,[57],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNiSi0.4,AC,SS,2BCC,6,2,M,[57],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNiSi0.6,AC,SS+IM,2BCC+IM,6,3,M,[57],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNiSi0.8,AC,SS+IM,2BCC+IM,6,3,M,[57],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNiSi,AC,SS+IM,2BCC+IM,6,3,M,[57],3d_Transition_Metal_Alloy_Family
AlCoCrFeNiTi,Al0.2Co1.5CrFeNi1.5Ti0.5,AC+1100C/4h/AC+800C/10h/AC,SS,FCC,6,1,"H, W",[62],3d_Transition_Metal_Alloy_Family
,Al0.2Co1.5CrFeNi1.5Ti,AC+1100C/4h/AC+800C/10h/AC,SS+IM,FCC+D024,6,2,"H, W",[62],3d_Transition_Metal_Alloy_Family
,Al0.3CoCrFeNiTi0.1,AC,SS,FCC,6,1,H,[39],3d_Transition_Metal_Alloy_Family
,,AC+700C/144h/WQ,SS+IM,FCC+B2,6,2,H,[39],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrFeNiTi,AC,SS+IM,BCC+B2+C14,6,3,M,[63],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+B2+C14+E93,6,5,,[64],3d_Transition_Metal_Alloy_Family
,,AC+1000C/2h,SS+IM,BCC+FCC+B2+C14+E93+Unk,6,6,,[64],3d_Transition_Metal_Alloy_Family
,Al0.6CoCrFeNiTi0.4,MA+SPS,SS,2FCC+D022,6,3,"DSC, H, M",[65],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNiTi0.5,AC,SS+IM,2BCC+B2,6,2,M,[52],3d_Transition_Metal_Alloy_Family
,,AC,SS,2BCC,6,2,M,[34],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,6,2,M,[66],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNiTi,AC,SS+IM,2BCC+B2,6,2,M,[52],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2+C14,6,3,M,[63],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+B2+C14+E93,6,5,,[64],3d_Transition_Metal_Alloy_Family
,,AC+1000C/2h,SS+IM,BCC+FCC+B2+C14+E93+Unk,6,6,,[64],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNiTi1.5,AC,SS+IM,BCC+B2+C14,6,3,M,[52],3d_Transition_Metal_Alloy_Family
,AlCo1.5CrFeNiTi0.5,AC,SS,BCC+FCC,6,2,M,[66],3d_Transition_Metal_Alloy_Family
,AlCo2CrFeNiTi0.5,AC,SS,BCC+FCC,6,2,M,[66],3d_Transition_Metal_Alloy_Family
,AlCo3CrFeNiTi0.5,AC,SS,BCC+FCC,6,2,M,[66],3d_Transition_Metal_Alloy_Family
,Al1.5CoCrFeNiTi,AC,SS+IM,BCC+B2,6,2,M,[63],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,6,2,,[64],3d_Transition_Metal_Alloy_Family
,,AC+1000C/2h,SS+IM,BCC+B2,6,2,,[64],3d_Transition_Metal_Alloy_Family
,Al2CoCrFeNiTi,AC,SS+IM,BCC+B2,6,2,M,[63],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+B2,6,2,,[64],3d_Transition_Metal_Alloy_Family
,,AC+1000C/2h,SS+IM,BCC+B2,6,2,,[64],3d_Transition_Metal_Alloy_Family
AlCoCrNiSi,Al0.43CoCr0.29NiSi0.14,AC,SS+IM,FCC+L10+L12,5,3,OX,[50],3d_Transition_Metal_Alloy_Family
,Al0.8CoCrNiSi0.2,AC,SS+IM,BCC+B2+σ,5,3,OX,[50],3d_Transition_Metal_Alloy_Family
AlCoCuFeNdNi,AlCoCuFeNdNi,AC,IM,Unk,6,3,,[31],3d_Transition_Metal_Alloy_Family
AlCoCuFeNi,AlCo0.2CuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
,AlCo0.5CuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
,AlCoCu0.5FeNi,AC,SS,BCC+FCC,5,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,"H, M",[31],3d_Transition_Metal_Alloy_Family
,AlCo1.5CuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
,AlCo2CuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[67],3d_Transition_Metal_Alloy_Family
,AlCo3CuFeNi,AC,SS,FCC,5,1,"H, M",[67],3d_Transition_Metal_Alloy_Family
AlCoCuFeNiSi,AlCoCuFeNiSi,AC,SS,BCC+FCC,6,2,,[31],3d_Transition_Metal_Alloy_Family
AlCoCuFeNiTi,AlCoCuFeNiTi,AC,SS+IM,BCC+FCC+B2,6,3,,[31],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,,[68],3d_Transition_Metal_Alloy_Family
AlCoCuFeNiZr,AlCoCuFeNiZr,AC,SS+IM,FCC+B2+D2b,6,3,,[31],3d_Transition_Metal_Alloy_Family
AlCoCuNi,AlCoCuNi,AC,SS,BCC+FCC,4,2,,[25],3d_Transition_Metal_Alloy_Family
AlCoCuNiTiZn,AlCoCuNiTiZn,MA+VHP,SS,BCC+2FCC,6,3,H,[69],3d_Transition_Metal_Alloy_Family
AlCoFeMoNi,AlCoFeMo0.5Ni,AC,IM,B2+σ,5,2,H,[41],3d_Transition_Metal_Alloy_Family
AlCoFeNi,Al0.25CoFeNi,AC,SS,FCC,4,1,"H, M, MAG, R",[70],3d_Transition_Metal_Alloy_Family
,Al0.5CoFeNi,AC,SS+IM,FCC+B2,4,2,"H, M, MAG, R",[70],3d_Transition_Metal_Alloy_Family
,Al0.75CoFeNi,AC,SS+IM,FCC+B2,4,2,"H, M, MAG, R",[70],3d_Transition_Metal_Alloy_Family
,AlCoFeNi,AC,IM,B2,4,1,"H, M, MAG, R",[70],3d_Transition_Metal_Alloy_Family
AlCoFeNiTi,Al0.6CoFeNiTi0.4,SPS,SS+IM,FCC+B2+Unk,5,3,"H, M",[71],3d_Transition_Metal_Alloy_Family
,AlCoFeNiTi,AC,SS,BCC,5,1,,[68],3d_Transition_Metal_Alloy_Family
AlCrCuFeMnNi,Al0.3CrCuFeMnNi,AC,SS,BCC+2FCC,6,3,H,[10],3d_Transition_Metal_Alloy_Family
,Al0.5CrCuFeMnNi,AC,SS,2BCC+FCC,6,3,H,[10],3d_Transition_Metal_Alloy_Family
,Al0.8CrCuFeMnNi,AC,SS,2BCC+FCC,6,3,H,[10],3d_Transition_Metal_Alloy_Family
,Al0.8CrCuFeMn1.5Ni,AC,SS,2BCC,6,2,H,[10],3d_Transition_Metal_Alloy_Family
,Al0.8CrCuFe1.5MnNi,AC,SS,2BCC+FCC,6,3,H,[10],3d_Transition_Metal_Alloy_Family
,Al0.8CrCu1.5FeMnNi,AC,SS,BCC+FCC,6,2,H,[10],3d_Transition_Metal_Alloy_Family
,AlCrCuFeMnNi,AC,SS,2BCC,6,2,H,[10],3d_Transition_Metal_Alloy_Family
AlCrCuFeNi,Al0.2CrCuFeNi,AC,SS,FCC,5,1,H,[72],3d_Transition_Metal_Alloy_Family
,Al0.2CrCuFeNi2,AC,SS,FCC,5,1,,[73],3d_Transition_Metal_Alloy_Family
,Al0.4CrCuFeNi,AC,SS,FCC,5,1,H,[72],3d_Transition_Metal_Alloy_Family
,Al0.4CrCuFeNi2,AC,SS,FCC,5,1,,[73],3d_Transition_Metal_Alloy_Family
,Al0.5CrCuFeNi,AC,SS,FCC,5,1,H,[72],3d_Transition_Metal_Alloy_Family
,Al0.6CrCuFeNi2,AC,SS,FCC,5,1,,[73],3d_Transition_Metal_Alloy_Family
,Al0.7CrCuFeNi,AC,SS,FCC,5,1,H,[72],3d_Transition_Metal_Alloy_Family
,Al0.8CrCuFeNi,AC,SS,BCC+FCC,5,2,H,[72],3d_Transition_Metal_Alloy_Family
,Al0.8CrCuFeNi2,AC,SS,FCC,5,1,,[73],3d_Transition_Metal_Alloy_Family
,Al0.9CrCuFeNi,AC,SS+IM,BCC+FCC+B2,5,3,H,[72],3d_Transition_Metal_Alloy_Family
,AlCrCu0.5FeNi,AC,SS+IM,BCC+B2,5,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCrCuFeNi0.6,AC,SS+IM,FCC+B2,5,2,"H, M",[74],3d_Transition_Metal_Alloy_Family
,AlCrCuFeNi0.8,AC,SS+IM,FCC+B2,5,2,"H, M",[74],3d_Transition_Metal_Alloy_Family
,AlCrCuFeNi,AC,SS+IM,FCC+B2,5,2,"H, M",[74],3d_Transition_Metal_Alloy_Family
,AlCrCuFeNi1.2,AC,SS+IM,FCC+B2,5,2,"H, M",[74],3d_Transition_Metal_Alloy_Family
,AlCrCuFeNi1.4,AC,SS+IM,FCC+B2,5,2,"H, M",[74],3d_Transition_Metal_Alloy_Family
,AlCrCuFeNi2,AC ,SS,BCC+FCC,5,2,,[73],3d_Transition_Metal_Alloy_Family
,Al1.2CrCuFeNi,AC,SS+IM,BCC+FCC+B2,5,3,H,[72],3d_Transition_Metal_Alloy_Family
,Al1.2CrCuFeNi2,AC ,SS,BCC+FCC,5,2,,[73],3d_Transition_Metal_Alloy_Family
,Al1.5CrCuFeNi,AC,SS+IM,BCC+B2,5,2,H,[72],3d_Transition_Metal_Alloy_Family
,Al1.8CrCuFeNi,AC,SS+IM,BCC+B2,5,2,H,[72],3d_Transition_Metal_Alloy_Family
,Al2.0CrCuFeNi,AC,SS+IM,BCC+B2,5,2,H,[72],3d_Transition_Metal_Alloy_Family
,Al2.2CrCuFeNi,AC,SS+IM,BCC+B2,5,2,H,[72],3d_Transition_Metal_Alloy_Family
,Al2.5CrCuFeNi,AC,SS+IM,BCC+B2,5,2,H,[72],3d_Transition_Metal_Alloy_Family
AlCrCuFeNiTi,AlCr0.5CuFeNiTi,AC,SS+IM,FCC+B2,6,2,"H, M",[75],3d_Transition_Metal_Alloy_Family
,AlCrCuFeNiTi,AC,SS+IM,FCC+B2,6,2,"H, M",[75],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,2BCC+C14,6,3,"H, M, DSC",[76],3d_Transition_Metal_Alloy_Family
,,AC+500/4h/FC,SS+IM,2BCC+C14,6,3,"H, M, DSC",[76],3d_Transition_Metal_Alloy_Family
,AlCr1.5CuFeNiTi,AC,SS+IM,FCC+B2,6,2,"H,M",[75],3d_Transition_Metal_Alloy_Family
,AlCr2CuFeNiTi,AC,SS+IM,FCC+B2,6,2,"H,M",[75],3d_Transition_Metal_Alloy_Family
,AlCr3CuFeNiTi,AC,SS+IM,FCC+B2,6,2,"H,M",[75],3d_Transition_Metal_Alloy_Family
AlCrFeMnNi,Al0.3CrFe1.5MnNi0.5,AC,SS,BCC+FCC,5,2,C,[77],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+B2,5,3,"H, OX, W",[78],3d_Transition_Metal_Alloy_Family
,,AC+1100C/2h/FC,SS+IM,BCC+FCC+B2,5,3,"H, OX, W",[78],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h/FC,SS+IM,BCC+FCC+IM,5,3,"H, OX, W",[78],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,5,2,H,[37],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h,SS+IM,BCC+FCC+σ,5,3,H,[37],3d_Transition_Metal_Alloy_Family
,Al0.5CrFe1.5MnNi0.5,AC,SS,BCC,5,1,C,[77],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,2BCC+B2,5,3,"H,O X, W",[78],3d_Transition_Metal_Alloy_Family
,,AC+FOR/1200C(50%)+1100C/6h/AC,SS+IM,2BCC+B2,5,3,"H, OX, W",[78],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h/FC,SS+IM,2BCC+B2+IM,5,4,"H, OX, W",[78],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h,SS+IM,BCC+σ,5,2,H,[37],3d_Transition_Metal_Alloy_Family
,Al0.8CrFe1.5MnNi0.5,AC,SS,BCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h,SS,BCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,Al1.2CrFe1.5MnNi0.5,AC,SS,BCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h,SS+IM,BCC+B2,5,2,H,[37],3d_Transition_Metal_Alloy_Family
AlCrFeMoNi,AlCrFeMo0.2Ni,AC,SS+IM,BCC+B2,5,2,"H, M",[79],3d_Transition_Metal_Alloy_Family
,AlCrFeMo0.5Ni,AC,SS+IM,BCC+B2,5,2,"H, M",[79],3d_Transition_Metal_Alloy_Family
,AlCrFeMo0.8Ni,AC,IM,B2+σ,5,2,"H, M",[79],3d_Transition_Metal_Alloy_Family
,AlCrFeMoNi,AC,IM,B2+σ,5,2,"H, M",[79],3d_Transition_Metal_Alloy_Family
AlCrFeNi,Al0.15CrFe1.5Ni0.5,AC,SS,2BCC,4,2,H,[80],3d_Transition_Metal_Alloy_Family
,Al0.2CrFe1.5Ni0.5,AC,SS,2BCC,4,2,H,[80],3d_Transition_Metal_Alloy_Family
,Al0.3CrFe1.5Ni0.5,AC,IM,B2,4,1,H,[80],3d_Transition_Metal_Alloy_Family
,Al0.4CrFe1.5Ni0.5,AC,IM,B2,4,1,H,[80],3d_Transition_Metal_Alloy_Family
,AlCrFeNi,AC,SS+IM,BCC+B2,4,2,"H, M",[79],3d_Transition_Metal_Alloy_Family
AlCrFeNiTiV,Al0.5CrFeNiTiV,AC+700C/20h,IM,C15+L21,6,2,H,[37],3d_Transition_Metal_Alloy_Family
CoCrCuFeMn,CoCrCuFeMn,AC+850C/72h,SS,2FCC,5,2,,[81],3d_Transition_Metal_Alloy_Family
CoCrCuFeMnNi,CoCrCuFeMnNi,AC,SS,FCC,6,1,H,[82],3d_Transition_Metal_Alloy_Family
CoCrCuFeMnNiTiV,CoCrCuFeMnNiTiV,AC,SS+IM,2BCC+FCC+σ+Unk,8,5,M,[5],3d_Transition_Metal_Alloy_Family
CoCrCuFeNi,CoCrCu0.5FeNi,AC,SS,FCC,5,1,C,[83],3d_Transition_Metal_Alloy_Family
,,AC,SS,2FCC,5,2,,[2],3d_Transition_Metal_Alloy_Family
,,AC,SS,3FCC,5,3,H,[84],3d_Transition_Metal_Alloy_Family
,,AC+1050C/1h+1250/24h,SS,3FCC,5,3,H,[84],3d_Transition_Metal_Alloy_Family
,,AC+1050C/1h+1350/24h,SS,2FCC,5,2,H,[84],3d_Transition_Metal_Alloy_Family
,,AC,SS,3FCC,5,3,"H, C",[85],3d_Transition_Metal_Alloy_Family
,,AC+1050C/1h+1250/24h/WQ,SS,3FCC,5,3,"H, C",[85],3d_Transition_Metal_Alloy_Family
,,AC+1050C/1h+1350/24h/WQ,SS,3FCC,5,3,"H, C",[85],3d_Transition_Metal_Alloy_Family
,CoCrCuFeNi,AC,SS,FCC,5,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,H,[12],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,C,[83],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,H,[10],3d_Transition_Metal_Alloy_Family
,,AC,SS,2FCC,5,2,"DSC, M, MAG",[86],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,M,[7],3d_Transition_Metal_Alloy_Family
,,MA+SPS,SS+IM,2FCC+σ,5,3,H,[3],3d_Transition_Metal_Alloy_Family
CoCrCuFeNiTi,CoCrCuFeNiTi0.5,AC,SS,2FCC,6,2,"DSC, M, MAG",[86],3d_Transition_Metal_Alloy_Family
,,AC,SS,2FCC,6,2,M,[33],3d_Transition_Metal_Alloy_Family
,CoCrCuFeNiTi0.8,AC,SS+IM,FCC+C14,6,2,"DSC, M, MAG",[86],3d_Transition_Metal_Alloy_Family
,CoCrCuFeNiTi,AC,SS+IM,FCC+C14,6,2,"DSC, M, MAG",[86],3d_Transition_Metal_Alloy_Family
,CoCrCuFeNiTi2.5,AC,IM,Unk,6,≥3,,[24],3d_Transition_Metal_Alloy_Family
CoCrFeGeMnNi,CoCrFeGeMnNi,AC,SS,BCC+FCC,6,2,H,[82],3d_Transition_Metal_Alloy_Family
CoCrFeMn,Co0.25Cr0.25FeMn,AC,SS,FCC,4,1,MT,[87],3d_Transition_Metal_Alloy_Family
,,AC+HR/900C(50%)+1200C/2h/WQ,SS,FCC,4,1,MT,[87],3d_Transition_Metal_Alloy_Family
CoCrFeMnNbNi,CoCrFeMnNbNi,AC,SS,FCC,6,1,H,[82],3d_Transition_Metal_Alloy_Family
CoCrFeMnNi,Co0.5CrFeMn1.5Ni,AC+700C/20h,SS+IM,FCC+σ,5,2,H,[37],3d_Transition_Metal_Alloy_Family
,CoCr0.4Fe8Mn5.4Ni5.2,AC,SS,FCC,5,1,"DSC, MT",[88],3d_Transition_Metal_Alloy_Family
,,AC+HR/900C(50%)+1200C/2h/WQ,SS,FCC,5,1,"DSC, MT",[88],3d_Transition_Metal_Alloy_Family
,,AC+HR/900C(50%)+1200C/2h/WQ+CR(64%)+900C/10min,SS,FCC,5,1,"DSC, MT",[88],3d_Transition_Metal_Alloy_Family
,CoCr0.75FeMn0.75Ni,AC+700C/20h,SS,FCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,CoCrFe0.5Mn0.5Ni1.5,AC+700C/20h,SS,FCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,CoCrFeMnNi,AC,SS,FCC,5,1,H,[82],3d_Transition_Metal_Alloy_Family
,,AC+1000C/72h,SS,FCC,5,1,,[81],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,"H, MT",[36],3d_Transition_Metal_Alloy_Family
,,AC+1200/24h/WQ,SS,FCC,5,1,H,[89],3d_Transition_Metal_Alloy_Family
