Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
,,AC+1200C/48h,SS,FCC,5,1,"H, MT",[90],3d_Transition_Metal_Alloy_Family
,,AC+1200C/48h+HPT+450C/5min,SS+IM,BCC+FCC+IM,5,3,"H, MT",[90],3d_Transition_Metal_Alloy_Family
,,AC+1200C/48h+HPT+450C/1h,SS+IM,BCC+FCC+IM,5,3,"H, MT",[90],3d_Transition_Metal_Alloy_Family
,,AC+1200C/48h+HPT+450C/15h,SS+IM,BCC+FCC+2IM,5,4,"H, MT",[90],3d_Transition_Metal_Alloy_Family
,,AC+1200C/48h+HPT+600C/1h,SS+IM,FCC+IM,5,2,"H, MT",[90],3d_Transition_Metal_Alloy_Family
,,AC+1200C/48h+HPT+700C/1h,SS+IM,FCC+IM,5,2,"H, MT",[90],3d_Transition_Metal_Alloy_Family
,,AC+1200C/48h+HPT+800C/1h,SS,FCC,5,1,"H, MT",[90],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,5,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+575C/1h,SS,FCC,5,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,"H, M",[92],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h,SS,FCC,5,1,"H, M",[92],3d_Transition_Metal_Alloy_Family
,CoCr1.25FeMn0.25Ni,AC+700C/20h,SS,FCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,CoCr1.3FeMnNi0.7,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,5,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+800C/1h,SS,FCC,5,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+700C/1h,SS+IM,FCC+σ,5,2,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+575C/1h,SS+IM,FCC+σ,5,2,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,Co1.4CrFeMnNi,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,5,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+575C/1h,SS,FCC,5,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,Co1.5Cr0.5FeMn0.5Ni,AC+700C/20h,SS,FCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
CoCrFeMnNiTi,CoCrFeMnNiTi,AC,SS,BCC+FCC,6,2,H,[82],3d_Transition_Metal_Alloy_Family
CoCrFeMnNiV,CoCrFeMnNiV0.25,AC,SS,FCC,6,1,"H, M",[92],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h,SS+IM,FCC+σ,6,2,"H, M",[92],3d_Transition_Metal_Alloy_Family
,CoCrFeMnNiV0.5,AC,SS+IM,FCC+σ,6,2,"H, M",[92],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h,SS+IM,FCC+σ,6,2,"H, M",[92],3d_Transition_Metal_Alloy_Family
,CoCrFeMnNiV0.75,AC,SS+IM,FCC+σ,6,2,"H, M",[92],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h,SS+IM,FCC+σ,6,2,"H, M",[92],3d_Transition_Metal_Alloy_Family
,CoCrFeMnNiV,AC,SS,BCC+FCC,6,2,H,[82],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+σ,6,2,"H, M",[92],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h,SS+IM,FCC+σ,6,2,"H, M",[92],3d_Transition_Metal_Alloy_Family
CoCrFeMoNi,CoCrFeMo0.3Ni,AC,SS,FCC,5,1,,[38],3d_Transition_Metal_Alloy_Family
,,AM,SS+IM,FCC+σ,5,2,"H, M",[93],3d_Transition_Metal_Alloy_Family
,CoCrFeMo0.5Ni,AM,SS+IM,FCC+σ,5,2,"H, M",[93],3d_Transition_Metal_Alloy_Family
,CoCrFeMo0.85Ni,AM,SS+IM,FCC+σ+D85,5,3,"H, M",[93],3d_Transition_Metal_Alloy_Family
CoCrFeMoNiTi,Co1.5CrFeMo0.1Ni1.5Ti0.5,AC,SS,FCC,6,1,C,[94],3d_Transition_Metal_Alloy_Family
,Co1.5CrFeMo0.5Ni1.5Ti0.5,AC,SS+IM,FCC+σ,6,2,C,[94],3d_Transition_Metal_Alloy_Family
,Co1.5CrFeMo0.8Ni1.5Ti0.5,AC,SS+IM,FCC+σ,6,2,C,[94],3d_Transition_Metal_Alloy_Family
CoCrFeNbNi,CoCrFeNb0.103Ni,AC,SS+IM,FCC+C14,5,2,MT,[95],3d_Transition_Metal_Alloy_Family
,CoCrFeNb0.155Ni,AC,SS+IM,FCC+C14,5,2,MT,[95],3d_Transition_Metal_Alloy_Family
,CoCrFeNb0.206Ni,AC,SS+IM,FCC+C14,5,2,MT,[95],3d_Transition_Metal_Alloy_Family
,CoCrFeNb0.309Ni,AC,SS+IM,FCC+C14,5,2,MT,[95],3d_Transition_Metal_Alloy_Family
,CoCrFeNb0.412Ni,AC,SS+IM,FCC+C14,5,2,MT,[95],3d_Transition_Metal_Alloy_Family
CoCrFeNi,CoCrFeNi,AC,SS,2FCC,4,2,C,[83],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,4,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,FCC,4,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ+CR(50%),SS,FCC,4,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,FCC,4,1,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,,AC+CR ,SS,FCC,4,1,MAG,[29],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,4,1,H,[46],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,4,1,"H, M",[93],3d_Transition_Metal_Alloy_Family
,,MA+SPS,SS+IM,FCC+σ,4,2,H,[3],3d_Transition_Metal_Alloy_Family
,,AC+1200/24h/WQ,SS,FCC,4,1,H,[89],3d_Transition_Metal_Alloy_Family
,,AM (20 mm layer),SS,FCC,4,1,"CTE, DSC, H, MT",[96],3d_Transition_Metal_Alloy_Family
,,AM (20 mm layer)+750C/12h/WQ,SS,FCC,4,1,"CTE, DSC, H, MT",[96],3d_Transition_Metal_Alloy_Family
,,AM (20 mm layer)+1000C/12h/WQ,SS,FCC,4,1,"CTE, DSC, H, MT",[96],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,4,1,MT,[95],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,4,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,,AC+1000C/24h+CR(80%)+575C/1h,SS,FCC,4,1,"H, MT",[91],3d_Transition_Metal_Alloy_Family
,CoCr2FeNi,AC+700C/20h,SS+IM,FCC+s,4,2,H,[37],3d_Transition_Metal_Alloy_Family
CoCrFeNiPd,CoCrFeNiPd,AC+CR,SS,FCC,5,1,MAG,[29],3d_Transition_Metal_Alloy_Family
,CoCrFeNiPd2,AC+CR,SS,FCC,5,1,MAG,[29],3d_Transition_Metal_Alloy_Family
CoCrFeNiTi,Co0.5CrFeNiTi0.5,MA+SPS,SS+IM,FCC+σ,5,2,M,[97],3d_Transition_Metal_Alloy_Family
,CoCrFeNiTi0.3,AC,SS+IM,FCC+HCP+L12,5,3,,[38],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+C14+IM+s,5,4,H,[98],3d_Transition_Metal_Alloy_Family
,,AC+600C/6h/FC,SS+IM,FCC+C14+IM+s,5,4,H,[98],3d_Transition_Metal_Alloy_Family
,,AC+700C/6h/FC,SS+IM,FCC+C14+IM+s,5,4,H,[98],3d_Transition_Metal_Alloy_Family
,,AC+800C/6h/FC,SS+IM,FCC+C14+IM+s,5,4,H,[98],3d_Transition_Metal_Alloy_Family
,,AC+1000C/6h/FC,SS+IM,FCC+IM+s,5,3,H,[98],3d_Transition_Metal_Alloy_Family
,CoCrFeNiTi,AC,SS,2FCC,5,2,,[63],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+E93,5,3,,[64],3d_Transition_Metal_Alloy_Family
,,AC+1000C/2h,SS+IM,BCC+FCC+C14+E93+Unk,5,5,,[64],3d_Transition_Metal_Alloy_Family
,Co1.5CrFeNi1.5Ti0.5,AC,SS,FCC,5,1,C,[94],3d_Transition_Metal_Alloy_Family
,,AC+1100C/4h/AC+800C/10h/AC,SS+IM,FCC+D024,5,2,"H, W",[62],3d_Transition_Metal_Alloy_Family
,Co1.5CrFeNi1.5Ti,AC+1100C/4h/AC+800C/10h/AC,SS+IM,FCC+D024,5,2,"H, W",[62],3d_Transition_Metal_Alloy_Family
CoCrMnNi,CoCrMnNi,AC+1100/24h/WQ,SS,FCC,4,1,H,[89],3d_Transition_Metal_Alloy_Family
CoCrMnNiV,CoCrMnNiV,AC+1000C/72h,SS+IM,FCC+s,5,2,,[81],3d_Transition_Metal_Alloy_Family
CoCuFeMnNi,CoCuFeMnNi,AC,SS,FCC,5,1,"H, MT",[99],3d_Transition_Metal_Alloy_Family
CoCuFeMnNiSn,CoCuFeMnNiSn0.03,AC,SS,FCC,6,1,"H, MT",[99],3d_Transition_Metal_Alloy_Family
,CoCuFeMnNiSn0.05,AC,SS+IM,FCC+IM,6,2,"H, MT",[99],3d_Transition_Metal_Alloy_Family
,CoCuFeMnNiSn0.08,AC,SS+IM,FCC+IM,6,2,"H, MT",[99],3d_Transition_Metal_Alloy_Family
,CoCuFeMnNiSn0.1,AC,SS+IM,FCC+IM,6,2,"H, MT",[99],3d_Transition_Metal_Alloy_Family
,CoCuFeMnNiSn0.2,AC,SS+IM,FCC+IM,6,2,"H, MT",[99],3d_Transition_Metal_Alloy_Family
CoCuFeNi,CoCuFeNi,MA+SPS,SS,2FCC,4,2,H,[3],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,4,1,MT,[100],3d_Transition_Metal_Alloy_Family
CoCuFeNiSn,CoCuFeNiSn0.04,AC,SS+IM,FCC+IM,5,2,MT,[100],3d_Transition_Metal_Alloy_Family
,CoCuFeNiSn0.05,AC,SS+IM,FCC+IM,5,2,MT,[100],3d_Transition_Metal_Alloy_Family
,CoCuFeNiSn0.07,AC,SS+IM,FCC+IM,5,2,MT,[100],3d_Transition_Metal_Alloy_Family
,CoCuFeNiSn0.1,AC,SS+IM,FCC+IM,5,2,MT,[100],3d_Transition_Metal_Alloy_Family
,CoCuFeNiSn0.2,AC,SS+IM,FCC+IM,5,2,MT,[100],3d_Transition_Metal_Alloy_Family
,CoCuFeNiSn0.5,AC,SS+IM,FCC+IM,5,2,MT,[100],3d_Transition_Metal_Alloy_Family
CoCuFeNiTi,CoCuFeNiTi,AC,SS,FCC,5,1,,[68],3d_Transition_Metal_Alloy_Family
CoCuFeNiV,CoCuFeNiV,AC,SS,2FCC,5,2,,[24],3d_Transition_Metal_Alloy_Family
CoFeMnMoNi,CoFeMnMoNi,AC+1000C/72h,SS+IM,FCC+D85,5,2,,[81],3d_Transition_Metal_Alloy_Family
CoFeMnNi,CoFeMnNi,AC+1100/24h/WQ,SS,FCC,4,1,H,[89],3d_Transition_Metal_Alloy_Family
CoFeMnNiV,CoFeMnNiV,AC+1000C/72h,SS+IM,FCC+s,5,2,,[81],3d_Transition_Metal_Alloy_Family
CoFeMnTiVZr,CoFeMnTi0.5VZr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV0.4Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV0.7Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr0.4,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr0.7,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr1.3,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr1.6,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr2,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr2.3,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr2.6,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiVZr3,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV1.3Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV1.6Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV2Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV2.3Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV2.6Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTiV3Zr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTi1.5VZr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTi2VZr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
,CoFeMnTi2.5VZr,AC,IM,C14,6,1,HY,[101],3d_Transition_Metal_Alloy_Family
CoFeNiTi,CoFeNiTi,AC,Unk,FCC+Unk,4,2,,[68],3d_Transition_Metal_Alloy_Family
CrCuFeMnNi,Cr0.5CuFeMn0.5Ni,AC,SS,2FCC,5,2,,[102],3d_Transition_Metal_Alloy_Family
,Cr0.5CuFeMnNi0.5,AC,SS,BCC+2FCC,5,3,,[102],3d_Transition_Metal_Alloy_Family
,CrCu0.5FeMnNi,AC,SS,2FCC,5,2,,[102],3d_Transition_Metal_Alloy_Family
,CrCuFe0.5Mn0.5Ni,AC,SS,BCC+2FCC,5,3,,[102],3d_Transition_Metal_Alloy_Family
,CrCuFe0.5MnNi0.5,AC,SS,BCC+FCC,5,2,,[102],3d_Transition_Metal_Alloy_Family
,CrCuFeMnNi,AC,SS,BCC+2FCC,5,3,H,[10],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+2FCC,5,3,,[102],3d_Transition_Metal_Alloy_Family
,CrCuFeMn2Ni2,AC,SS,FCC,5,1,,[102],3d_Transition_Metal_Alloy_Family
,Cr2CuFe2MnNi,AC,SS,BCC+2FCC,5,3,,[102],3d_Transition_Metal_Alloy_Family
CrFeMnNi,Cr0.66FeMnNi,AC+1200C/24h/WQ,SS,FCC,4,1,MT,[103],3d_Transition_Metal_Alloy_Family
,,AC+1200C/24h/WQ+CR(86%)+900C/1h,SS,FCC,4,1,MT,[103],3d_Transition_Metal_Alloy_Family
,CrFe1.5MnNi0.5,AC,SS+IM,BCC+s,4,2,C,[77],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+σ,4,2,H,[37],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h,SS+IM,FCC+σ,4,2,H,[37],3d_Transition_Metal_Alloy_Family
CrFeMnNiTi,CrFeMnNiTi,AC+1000C/72h,SS+IM,A12+BCC+C14+Unk,5,4,,[81],3d_Transition_Metal_Alloy_Family
AlCrMoSiTi,AlCrMoSiTi,AC,IM,B2+D8m,5,2,,[104],Refractory_Metal_Alloy_Family
AlHfNbTaTiZr,Al0.4Hf0.6NbTaTiZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,6,1,"H, M",[105],Refractory_Metal_Alloy_Family
,,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,6,1,"D, H, M",[106],Refractory_Metal_Alloy_Family
AlMoNbTaTiZr,AlMo0.5NbTa0.5TiZr,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS,2BCC,6,2,"D, H, M",[106],Refractory_Metal_Alloy_Family
,,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS+IM,BCC+B2,6,2,,[107],Refractory_Metal_Alloy_Family
,,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS+IM,BCC+B2,6,2,,[108],Refractory_Metal_Alloy_Family
AlNbTaTiV,Al0.25NbTaTiV,AC,SS,BCC,5,1,M,[109],Refractory_Metal_Alloy_Family
,Al0.5NbTaTiV,AC,SS,BCC,5,1,M,[109],Refractory_Metal_Alloy_Family
,AlNbTaTiV,AC,SS,BCC,5,1,M,[109],Refractory_Metal_Alloy_Family
AlNbTaTiVZr,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,6,1,M,[106],Refractory_Metal_Alloy_Family
,Al0.5NbTa0.8Ti1.5V0.2Zr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,2BCC,6,2,M,[106],Refractory_Metal_Alloy_Family
AlNbTaTiZr,Al0.3NbTaTi1.4Zr1.3,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,2BCC,5,2,M,[106],Refractory_Metal_Alloy_Family
,AlNb1.5Ta0.5Ti1.5Zr0.5,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS,BCC,5,1,M,[106],Refractory_Metal_Alloy_Family
AlTiVYZr,AlTiVYZr,AC,IM,Unk,5,≥3,,[24],Refractory_Metal_Alloy_Family
CrMoNbTaTiZr,CrMo0.5NbTa0.5TiZr,AC,SS+IM,2BCC+C15,6,3,"D, H, M",[110],Refractory_Metal_Alloy_Family
,,AC+HIP/1450C/207MPa/3h,SS+IM,2BCC+C15,6,3,"D, H, M",[110],Refractory_Metal_Alloy_Family
CrNbTiVZr,CrNbTiVZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS+IM,BCC+C15,5,2,"D, H",[111],Refractory_Metal_Alloy_Family
CrNbTiZr,CrNbTiZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS+IM,BCC+C15,4,2,"D, H",[111],Refractory_Metal_Alloy_Family
HfNbTaTiZr,HfNbTaTiZr,AC+HIP/1200C/207MPa/3h,SS,BCC+Unk,5,2,"D, H, M",[112],Refractory_Metal_Alloy_Family
,,AC+HIP/1200C/207MPa/2h+1200C/24h+CR(86%)+800C/2h/FC,SS,2BCC,5,2,"H, MT",[113],Refractory_Metal_Alloy_Family
,,AC+HIP/1200C/207MPa/2h+1200C/24h+CR(86%)+1000C/2h/FC,SS,BCC,5,1,"H, MT",[113],Refractory_Metal_Alloy_Family
,,AC+HIP/1200C/207MPa/2h+1200C/24h+CR(86%)+1200C/2h/FC,SS,BCC,5,1,"H, MT",[113],Refractory_Metal_Alloy_Family
HfNbTiZr,HfNbTiZr,AC,SS,BCC,4,1,"DSC, MT",[114],Refractory_Metal_Alloy_Family
,,AC+1300C/6h/FC,SS,BCC,4,1,"DSC, MT",[114],Refractory_Metal_Alloy_Family
MoNbTaVW,MoNbTaVW,AC,SS,BCC,5,1,"D, H",[115],Refractory_Metal_Alloy_Family
,,AC,SS,BCC,5,1,M,[116],Refractory_Metal_Alloy_Family
,,AC+1400C/19h,SS,BCC,5,1,M,[116],Refractory_Metal_Alloy_Family
MoNbTaW,MoNbTaW,AC,SS,BCC,4,1,"D, H",[115],Refractory_Metal_Alloy_Family
,,AC,SS,BCC,4,1,M,[116],Refractory_Metal_Alloy_Family
,,AC+1400C/19h,SS,BCC,4,1,M,[116],Refractory_Metal_Alloy_Family
MoNbTiVZr,MoNbTiV0.25Zr,AC,SS,2BCC,5,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
,MoNbTiV0.5Zr,AC,SS,2BCC,5,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
,MoNbTiV0.75Zr,AC,SS,2BCC,5,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
,MoNbTiVZr,AC,SS,BCC+Unk,5,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
,MoNbTiV1.5Zr,AC,SS,2BCC,5,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
,MoNbTiV2Zr,AC,SS,2BCC,5,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
,MoNbTiV3Zr,AC,SS,2BCC,5,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
MoNbTiZr,MoNbTiVZr,AC,SS,2BCC,4,2,"M, MAG",[45],Refractory_Metal_Alloy_Family
NbTaTiV,NbTaTiV,AC,SS,BCC,4,1,M,[109],Refractory_Metal_Alloy_Family
NbTiVZr,NbTiVZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,4,1,"D, H",[111],Refractory_Metal_Alloy_Family
,NbTiV2Zr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,3BCC,4,3,"D, H",[111],Refractory_Metal_Alloy_Family
AlCuLiMgSn,AlCu0.5Li0.5MgSn0.2,AC,SS+IM,A5+D02+2IM,5,4,"D, M",[117],LightMetalAlloyFamily
AlCuLiMgZn,AlCu0.2Li0.5MgZn0.5,AC,IM,IM,5,1,"D, M",[117],LightMetalAlloyFamily
,Al16CuLiMgZn,AC,SS+IM,FCC+C16+IM,5,3,"D, M",[117],LightMetalAlloyFamily
AlLiMgScTi,AlLiMg0.5ScTi1.5,MA+CP,SS,FCC,5,1,H,[118],LightMetalAlloyFamily
,,MA+CP+500C/1h,SS,HCP,5,1,H,[118],LightMetalAlloyFamily
AlLiMgSnZn,AlLi0.5MgSn0.2Zn0.5,AC,SS+IM,FCC+D02+2IM,5,4,"D, M",[117],LightMetalAlloyFamily
,AlLiMgSnZn,AC,SS+IM,A5+FCC+HCP+D02+IM,5,5,"D, M",[117],LightMetalAlloyFamily
,Al16LiMgSnZn,AC,SS+IM,A5+FCC+D02+IM,5,4,"D, M",[117],LightMetalAlloyFamily
DyGdLuTbTm,DyGdLuTbTm,AC,SS,HCP+Unk,5,2,,[119],4fTransitionMetalAlloyFamily
DyGdLuTbY,DyGdLuTbY,AC,SS,HCP+Unk,5,2,,[119],4fTransitionMetalAlloyFamily
AlBCoCrCuFeNi,Al0.5B0.2CoCrCuFeNi,AC,SS+IM,FCC+IM,7,2,"M, W",[13],BorideCarbideNitride_Metal_Alloy_Family
,Al0.5B0.6CoCrCuFeNi,AC,SS+IM,FCC+IM,7,2,"M, W",[13],BorideCarbideNitride_Metal_Alloy_Family
,Al0.5BCoCrCuFeNi,AC,IM,L12+IM,7,2,"M, W",[13],BorideCarbideNitride_Metal_Alloy_Family
AlCCoCrFeNi,AlC0.1CoCrFeNi,AC,SS+IM,BCC+IM,6,2,M,[58],BorideCarbideNitride_Metal_Alloy_Family
,AlC0.2CoCrFeNi,AC,SS+IM,BCC+IM,6,2,M,[58],BorideCarbideNitride_Metal_Alloy_Family
,AlC0.3CoCrFeNi,AC,SS+IM,BCC+IM,6,2,M,[58],BorideCarbideNitride_Metal_Alloy_Family
,AlC0.4CoCrFeNi,AC,SS+IM,BCC+IM,6,2,M,[58],BorideCarbideNitride_Metal_Alloy_Family
,AlC0.5CoCrFeNi,AC,SS+IM,BCC+IM,6,2,M,[58],BorideCarbideNitride_Metal_Alloy_Family
,AlCCoCrFeNi,AC,SS+IM,BCC+Graphite+IM,6,3,M,[58],BorideCarbideNitride_Metal_Alloy_Family
,AlC1.5CoCrFeNi,AC,SS+IM,BCC+Graphite+IM,6,3,M,[58],BorideCarbideNitride_Metal_Alloy_Family
AlCuNi,AlCuNi,AC,SS+IM,FCC+B2,3,2,,[25],Other_CCA_Families
BeCuNiTiVZr,BeCuNiTiVZr,AC,IM,Unk,6,≥2,,[24],Other_CCA_Families
CoCrNi,CoCrNi,AC+1200/24h/WQ,SS,FCC,3,1,H,[89],Other_CCA_Families
CoCuHfTiZr,CoCuHfTiZr,MS,SS,AM,5,1,"DSC, M",[120],Other_CCA_Families
CoFeNi,CoFeNi,MA+SPS,SS,FCC,3,1,H,[3],Other_CCA_Families
,,AC,SS,FCC,3,1,,[68],Other_CCA_Families
,,AC,SS,FCC,3,1,"H, M, MAG, R",[70],Other_CCA_Families
,,AC+1200/24h/WQ,SS,FCC,3,1,H,[89],Other_CCA_Families
CoFeNiSi,CoFeNiSi0.25,AC,SS,FCC,4,1,"H, M, MAG, R",[70],Other_CCA_Families
,CoFeNiSi0.5,AC,SS+IM,FCC+Ni3Si,4,2,"H, M, MAG, R",[70],Other_CCA_Families
,CoFeNiSi0.75,AC,SS+IM,FCC+Ni3Si,4,2,"H, M, MAG, R",[70],Other_CCA_Families
CoMnNi,CoMnNi,AC+1100/24h/WQ,SS,FCC,3,1,H,[89],Other_CCA_Families
CrFeNi,CrFeNi,AC+1200/24h/WQ,SS,FCC,3,1,H,[89],Other_CCA_Families
CuFeHfTiZr,CuFeHfTiZr,MS,SS,AM,5,1,"DSC, M",[120],Other_CCA_Families
CuHfNiTiZr,CuHfNiTiZr,MS,SS,AM,5,1,"DSC, M",[120],Other_CCA_Families
,,AC,SS,AM,5,1,"DSC, M",[120],Other_CCA_Families
FeMnNi,FeMnNi,AC+1100/24h/WQ,SS,FCC,3,1,H,[89],Other_CCA_Families
MoPdRhRu,MoPdRhRu,AC+1700C/20h,SS,HCP,4,1,H,[121],Other_CCA_Families
MoRhRu,MoRhRu,AC+1700C/20h,SS,HCP,3,1,H,[121],Other_CCA_Families
